# Kubernetes event log — cluster: cluster-prod-us-east  (kubectl get events --all-namespaces --sort-by=.lastTimestamp)
# NAMESPACE           NAME                                  KIND    REASON               MESSAGE
# Format: timestamp  namespace  object  kind  reason  message

2026-05-16T00:05:30Z  prod  pod/model-worker-5d8c6f-zxw9p  Pod  OOMKilled  Container model-worker exceeded memory limit 16Gi. OOMKilled. (restartCount=1)
2026-05-16T00:05:35Z  prod  pod/model-worker-5d8c6f-zxw9p  Pod  BackOff   Back-off restarting failed container model-worker (restartCount=1)
2026-05-16T00:08:44Z  prod  horizontalpodautoscaler/model-worker-hpa  HorizontalPodAutoscaler  DesiredReplicas  New size: 3; reason: memory resource utilization (percentage of request) above target
2026-05-16T00:09:01Z  prod  pod/model-worker-5d8c6f-abcd1  Pod  Scheduled  Assigned to node-01
2026-05-16T00:09:07Z  prod  pod/model-worker-5d8c6f-abcd1  Pod  Started   Started container model-worker
2026-05-16T00:09:05Z  prod  pod/model-worker-5d8c6f-efgh2  Pod  Scheduled  Assigned to node-04
2026-05-16T00:09:12Z  prod  pod/model-worker-5d8c6f-efgh2  Pod  Started   Started container model-worker
2026-05-16T00:12:00Z  prod  node/node-03  Node  MemoryPressureResolved  Node node-03 memory stabilized after HPA scale-out (available: 2.1Gi)

2026-05-16T00:15:33Z  prod  node/node-03  Node  NodeHasSufficientMemory  Node node-03 status is now: NodeHasSufficientMemory
2026-05-16T06:00:00Z  prod  horizontalpodautoscaler/model-worker-hpa  HorizontalPodAutoscaler  DesiredReplicas  New size: 1; reason: scale-down after sustained low utilization

# Incident summary recorded by SRE:
# INC-20260515-001: Memory pressure cascade on cluster-prod-us-east
#   Start:    2026-05-15T18:32Z
#   End:      2026-05-16T00:15Z
#   Root cause: reranker-svc memory limit (4Gi) too low for new 1B-parameter model variant loaded during 18:00 deployment.
#               OOM cascade evicted vector-db-0 and other pods on node-02.
#   Impact:   ~47 minutes of degraded retrieval (embedding + reranker unavailable), ~3 min RAG query errors during drain.
#   Fix:      Raised reranker-svc memory limit to 8Gi. Added PodDisruptionBudget. Improved memory headroom alerting.
#   Follow-up: Add memory limits review to deployment checklist (ticket ENG-8812).
